V1	V2
BR.MCF7	-0.461436561672064
BR.MDA.MB.231	0.374595231086253
BR.HS.578T	0.676920812481601
BR.BT.549	0.678981454224316
BR.T.47D	-0.398145422431557
CNS.SF.268	0.681189284662938
CNS.SF.295	0.621872240211952
CNS.SF.539	0.691639682072417
CNS.SNB.19	0.590373859287607
CNS.SNB.75	0.721224609949956
CNS.U251	0.645422431557256
CO.COLO.205	-0.62599352369738
CO.HCC.2998	-0.615690314983809
CO.HCT.116	0.183544303797468
CO.HCT.15	-0.366352664115396
CO.HT29	-0.727553723874007
CO.KM12	-0.459228731233441
CO.SW.620	0.147630261995879
LE.CCRF.CEM	0.269796879599647
LE.HL.60.TB.	0.223579629084486
LE.K.562	0.275537238740065
LE.MOLT.4	0.259346482190168
LE.RPMI.8226	0.166617603768031
LE.SR	0.288931410067707
ME.LOX.IMVI	0.619811598469238
ME.MALME.3M	0.497497792169561
ME.M14	0.491168678245511
ME.SK.MEL.2	0.48483956432146
ME.SK.MEL.28	0.413305858110097
ME.SK.MEL.5	0.395937591992935
ME.UACC.257	0.358110097144539
ME.UACC.62	0.537385928760671
ME.MDA.MB.435	0.615837503679717
LC.A549.ATCC	0.259052104798352
LC.EKVX	0.219163968207242
LC.HOP.62	0.50397409478952
LC.HOP.92	0.564763026199588
LC.NCI.H226	0.4657050338534
LC.NCI.H23	0.544156608772446
LC.NCI.H322M	-0.505887547836326
LC.NCI.H460	0.357668531056815
LC.NCI.H522	0.446864880777156
OV.IGROV1	0.229025610833088
OV.OVCAR.3	-0.187076832499264
OV.OVCAR.4	-0.0853694436267295
OV.OVCAR.5	0.210038269060936
OV.OVCAR.8	0.480571092140124
OV.SK.OV.3	0.349425964085958
OV.NCI.ADR.RES	0.499558433912276
PR.PC.3	0.297173977038563
PR.DU.145	0.171916396820724
RE.786.0	0.535325287017957
RE.A498	0.503679717397704
RE.ACHN	0.434206652929055
RE.CAKI.1	0.442743597291728
RE.RXF.393	0.624080070650574
RE.SN12C	0.571533706211363
RE.TK.10	0.222549308213129
RE.UO.31	0.374742419782161
